128 011111101010100110010111100111110010010000010100001000100100011010000010000010101001100110111110110010110010111011011000001001001111000001111110
126 16111128 011111101101000110010110000011000111100111011011000011100111000001110111110010011110100110100010000011101001101000110010110000010101110001111110
126 16111128 011111101011001011101100110010111000011110011110010110000011011111010011010000010011001100101111010011100101100001111001111001011110100101111110
126 16111128 011111100000011100111101000110010111001011110100111001110000011000111101111101011101110100110000111010011101110110100111011101100111100001111110
126 16111128 011111100010011001101111101100101100101100000110110110000010010011110000111001111100101110110110000011100001100001111001111100011110000101111110
126 16111128 011111101100111110001011110011101100100000110000111011101100100100000110110111011111011001011001011000001110010110010111000111100101110101111110
126 16111128 011111101101110100110110011110011000001110111110010011110100110100010000011001001100101111001111010111110010011011111011000010000011100001111110
126 16111128 011111100111010111000101101100110100111100111101000110100111011101100111100000101011100111101111101001101110100111011111000001111001011001111110
126 16111128 011111100101100000110110011010011101011110010110000010000011101100110010011101011110011100000101000011000011100111110001011001101110000101111110
126 16111128 011111101101011110010111100101000001101001110111011000111101100111010111001001101001110111011001111000001110110110010111100101110011110101111110
126 16111128 011111100011101111101011101110011100000110111110100110100000100110011011111011001011001011101101100000100100111100001110011111001011101101111110
126 16111128 011111100110111010000010000010101001100110111110110010110010111011011000001001001111000011100111110010111011011000001101001111001110000001111110
126 16111128 011111101110011110100111011011110000110110011110011000001100100111010111011011101101111100011000001110100110010111110000111010010000011001111110
126 16111128 011111101111101001101000001110100110100011001011000001110000111001011010011101110111010011010011101110110011110000011000011101110110010001111110
126 16111128 011111101000001110100111100111100001100101111001111001011110100111010011010011101110110011110000011010011101110110010011101011110011111001111110
126 16111128 011111100100111001011110011011101000001001100110111110110010110010111011011000001001001111000011100111110010111011011000001101000110000101111110
126 16111128 011111101110011100000110001011001011100101110111010000011101001101000110010110000010101101001110111011001001110101111001111100100111001001111110
126 16111128 011111101111001100111110100111000001110011111001001100001110111011001001100001111001011001001000001100100111010111011011101101111100011001111110
126 16111128 011111100000111010011001011111000011101001000001100101100000111011011001011110010100000111001111010011101110110001111001011000001110100101111110
126 16111128 011111101010001100101100000110001110101110000110000111001110110010000011101111100100011001011101110100000110000111011101000001110101110101111110
126 16111128 011111101101101011110111011011111011011111001110100000111000011100101101001110111011101001100101111001010000011101001101111101011111010101111110
126 16111128 011111100111000001100001100000110011111000001110110011011001100101111100011000001101111101001101000001110100111100111100001100101100000101111110
126 16111128 011111100101100001110111011001001000001110011110001111100010110000111011011100010110110011001011100100100000110100111101001000001110100101111110
126 16111128 011111101011111000000110110111000011101011110010110000011000011000001110100111100111100001100101100000111001111100000110010111000111101001111110
126 16111128 011111100111011011100101110111010000011000101101111101011111010101110111010000010010011110100100000110100011000011110011100000111001111101111110
126 16111128 011111100010111100101110110110100111101101100101110010010000011011101101111101101001000001101111101011101101100111100110000011001101101001111110
126 16111128 011111100111101101100101100000110001111001011101110111010011101011110010110100111001011110011101100100000110001011101011110100100000110001111110
126 16111128 011111100011101100111001111011111000000111010011010001100101100000110110011001011100001111000010000010101101001110111011101001101111100001111110
126 16111128 011111100001100101110110011001011100011111001001110010110111110101110110100111000111000001110100111100111100001100101111001111001011110101111110
126 16111128 011111100011101001101001110111011001111011001000001110010110010111011011100001110100111011101101001110111011001111000001100101111001111101111110
126 16111128 011111100001111001011101110111010011010011100001110110011011001111001100000111010111011101100011110100011000011101110110011111000101110001111110
126 16111128 011111101001011101000001001001111010010000011101111100000111100111000001110000110111110110000111010111011001100001111001011010011110011101111110
126 16111128 011111101001011100100100000110100111011101000001000001110100110100011001011000001100011110011101101100001110011100000111011111001001111001111110
126 16111128 011111101001101000100000111010011010001100101100000101011100101100101110110011001011100001111001111001011000001101111101001101000001001101111110
126 16111128 011111100011001011110100111001011000011110011110010111101001000001110011110100011001011100101111010011100111000001100011110111110101110101111110
126 16111128 011111101101001100001110100111011101101001110111011001111000001001100110111110110010110010111011011000001001001111000011100111110010111001111110
126 16111128 011111101101100000111000011000011110011111000111100001110011111000101111001110110010000011000011101110110010010000011011011101111101100101111110
126 16111128 011111100110010110000011100101100101110001111001011101110111010011011001111001100000111011111001001111010011010001000001100100110010111101111110
126 16111128 011111100011110101111100100110111110110000100000111000011101011100010110110011010011110011110100011010011101110110011110000010101110011101111110
126 16111128 011111101011111010011011101001110111110000011110010110010110000011011001101001110101111001011000001000001110110011001001110101111001110001111110
126 16111128 011111100001010000110000111001111100010110011011100001110101111001011110010100000110100111011101100011110110011101011100100110100111011101111110
126 16111128 011111100110011110000011101101100101111001011100111101001110111110101110111001110000011011111010011010000010011001101111101100101100101101111110
126 16111128 011111101011011000001001001111000011100111110010111011011011101000001000001010100110011011111011001011001011101101100000100100111100001101111110
126 16111128 011111101001111100101110110110000011010011110011100000111001111010011101101111000011011001111001100000110010011101011101101110110111110001111110
126 16111128 011111100110000011101001100101111100001110100100000110111110100110100000111010011010001100101100000111000011100101101001110111011101001101111110
126 16111128 011111100100111011101100111100000110000111011101100100100000111010011110011110000110010111100111100101111010011101001101001110111011001101111110
126 16111128 011111101100000110100111011101100100111010111100111000001110100111001011110011011101000001001100110111110110010110010111011011000001001001111110
126 16111128 011111100111100001110011111001011101101100000110100011000011110011100000110001011001011100101110111010000011101001101000110010110000010101111110
126 16111128 011111100110100111011101100100111010111100111110010011100101111001100111110100111000001110011111001001100001110111011001001100001111001001111110
126 16111128 011111101100100100000110010011101011101101110110111110001100000111010011001011111000011101001000001100101111011011001011110010100000111001111110
126 16111128 011111100111101001110111011000111100101100000111010011010001100101100000110001110101110000110000111001110110010000011101111100100011001001111110
126 16111128 011111101110111010000011000011101110100000111010111011101101011110111011011111011011111001110100000111000011100101101001110111011101001101111110
126 16111128 011111100010111100101000001110100110111110101111101010111000001100001100000110011111000001110110011011001100101111100011000001101111101001111110
126 16111128 011111100110100000111010011110011110000110010110000010101100001110111011001001000001110011110001111100010110000111011011100010110110011001111110
126 16111128 011111100101110010010000011010011110100100000111010011011111000000110110111000011101011110010110000011000011000001110100111100111100001101111110
126 16111128 011111100010110000011100111110000011001011100011110100111011011100101110111010000011000101101111101011111010101110111010000010010011110101111110
126 16111128 011111100010000011010001100001111001110000011100111110010111100101110110110100111101101100101110010010000011011101101111101101001000001101111110
126 16111128 011111100111110101110110110011110011000001100110110100111101101100101100000110001111001011101110111010011101011110010110100111001011110001111110
126 16111128 011111101110110010000011000101110101111010010000011000011101100111001111011111000000111010011010001100101100000110110011001011100001111001111110
126 16111128 011111100001000001010110100111011101110100110111110000001100101110110011001011100011111001001110010110111110101110110100111000111000001101111110
126 16111128 011111101010011110011110000110010111100111000001100101111010011101001101001110111011001111011001000001110010110010111011011100001110100101111110
126 16111128 011111101101110110100111011101100111100000110010111100111110001111001011101110111010011010011100001110110011011001111001100000111010111001111110
126 16111128 011111101110110001111010001100001110111011001111100010111001001011101000001001001111010010000011101111100000111100111000001110000110111101111110
126 16111128 011111101011000011101011101100110000111100101101001111001111001011100100100000110100111011101000001110100110100011001011000001100011110001111110
126 16111128 011111101110110110000111001110000011101111100100111101001101000100000111010011010001100101100000101011100101100101110110011001011100001101111110
126 16111128 011111101100111100101100000110111110100110100000100110011001011110100111001011000011110011110010111101001000001110011110100011001011100101111110
126 16111128 011111100111101001110011100000110001111011111010111011101001100001110100111011101101001110111011001111000001001100110111110110010110010101111110
126 16111128 011111101101101100000100100111100001110011111001011101101100000111000011000011110011111000111100001110011111000101111001110110010000011001111110
126 16111128 011111100001110111011001001000001101101110111110110010110010110000011100101100101110001111001011101110111010011011001111001100000111011101111110
126 16111128 011111101100100111101001101000100000110010011001011110011110101111100100110111110110000100000111000011101011100010110110011010011110011101111110
126 16111128 011111101010001101001110111011001111000001010111001111011111010011011101001110111110000011110010110010110000011011001101001110101111001001111110
126 16111128 011111101100000100000111011001100100111010111100111000001010000110000111001111100010110011011100001110101111001011110010100000110100111001111110
126 16111128 011111101110110001111011001110101110010011010011101110110011110000011101101100101111001011100111101001110111110101110111001110000011011101111110
126 16111128 011111101101001101000001001100110111110110010110010111011011000001001001111000011100111110010111011011011101000001000001000000000000000001111110
126 16111
